Step_ID,Duration,Start_Time,End_Time,Operator_ID,Machine_ID,Fault_Flag
Inspection,9.726261649881026,2023-09-01 00:00:00,2023-09-01 01:00:00,101,204,1
Testing,7.976195410250031,2023-09-01 01:00:00,2023-09-01 02:00:00,104,209,0
Assembly,9.455490474077703,2023-09-01 02:00:00,2023-09-01 05:00:00,100,204,0
Inspection,9.053446153848839,2023-09-01 03:00:00,2023-09-01 05:00:00,100,206,0
Inspection,6.381099809299767,2023-09-01 04:00:00,2023-09-01 09:00:00,104,208,0
Testing,9.296868115208051,2023-09-01 05:00:00,2023-09-01 11:00:00,102,204,1
Assembly,1.7964325184672756,2023-09-01 06:00:00,2023-09-01 13:00:00,103,200,1
Assembly,2.763845761772307,2023-09-01 07:00:00,2023-09-01 11:00:00,102,209,0
Inspection,1.4070456001948426,2023-09-01 08:00:00,2023-09-01 15:00:00,100,209,0
Welding,3.927972976869379,2023-09-01 09:00:00,2023-09-01 17:00:00,100,200,0
Inspection,4.498095607205338,2023-09-01 10:00:00,2023-09-01 11:00:00,104,201,0
Inspection,3.442141285965063,2023-09-01 11:00:00,2023-09-01 17:00:00,105,205,1
Inspection,8.458637582367365,2023-09-01 12:00:00,2023-09-01 20:00:00,102,208,0
Inspection,4.210779940242304,2023-09-01 13:00:00,2023-09-01 18:00:00,108,207,1
Testing,3.5284105871864266,2023-09-01 14:00:00,2023-09-01 18:00:00,104,204,0
Assembly,5.884264748424236,2023-09-01 15:00:00,2023-09-01 17:00:00,107,200,1
Testing,2.2683180247728636,2023-09-01 16:00:00,2023-09-01 22:00:00,100,206,0
Testing,8.219772826786357,2023-09-01 17:00:00,2023-09-01 23:00:00,104,204,0
Testing,1.6709557931179373,2023-09-01 18:00:00,2023-09-01 19:00:00,102,205,1
Inspection,9.881982429404655,2023-09-01 19:00:00,2023-09-02 04:00:00,100,206,0
Welding,7.9502029236699165,2023-09-01 20:00:00,2023-09-02 02:00:00,103,202,0
Assembly,2.7884411338075514,2023-09-01 21:00:00,2023-09-02 00:00:00,104,209,1
Welding,1.0496990541124216,2023-09-01 22:00:00,2023-09-02 02:00:00,106,202,1
Testing,8.339152856093508,2023-09-01 23:00:00,2023-09-02 03:00:00,100,204,0
Testing,7.361716094628554,2023-09-02 00:00:00,2023-09-02 03:00:00,102,205,0
Welding,7.561064512368886,2023-09-02 01:00:00,2023-09-02 04:00:00,101,208,0
Welding,7.941433120173512,2023-09-02 02:00:00,2023-09-02 05:00:00,108,204,0
Welding,1.6664018656068134,2023-09-02 03:00:00,2023-09-02 07:00:00,109,200,0
Testing,4.226191556898454,2023-09-02 04:00:00,2023-09-02 11:00:00,105,203,0
Testing,2.0428215357261674,2023-09-02 05:00:00,2023-09-02 09:00:00,109,204,0
Assembly,8.767930832880342,2023-09-02 06:00:00,2023-09-02 15:00:00,102,209,0
Assembly,6.609683141448022,2023-09-02 07:00:00,2023-09-02 08:00:00,107,209,0
Testing,3.9780822236738427,2023-09-02 08:00:00,2023-09-02 16:00:00,107,204,0
Welding,1.5720251525742128,2023-09-02 09:00:00,2023-09-02 16:00:00,101,206,0
Welding,3.79884089544096,2023-09-02 10:00:00,2023-09-02 12:00:00,105,203,0
Assembly,3.9266498982407234,2023-09-02 11:00:00,2023-09-02 19:00:00,106,200,0
Testing,7.566455605042576,2023-09-02 12:00:00,2023-09-02 13:00:00,101,204,0
Assembly,6.738017242196918,2023-09-02 13:00:00,2023-09-02 22:00:00,109,206,1
Assembly,8.98491468318694,2023-09-02 14:00:00,2023-09-02 23:00:00,101,209,0
Inspection,5.249934326457543,2023-09-02 15:00:00,2023-09-02 17:00:00,109,209,0
Inspection,2.0763482134447155,2023-09-02 16:00:00,2023-09-02 23:00:00,100,205,0
Inspection,7.419203085006955,2023-09-02 17:00:00,2023-09-02 20:00:00,107,204,0
Welding,7.847065437552077,2023-09-02 18:00:00,2023-09-03 01:00:00,100,203,0
Testing,6.051494778125466,2023-09-02 19:00:00,2023-09-03 04:00:00,108,201,0
Testing,7.938704619591049,2023-09-02 20:00:00,2023-09-03 00:00:00,105,203,0
Testing,5.444160367279517,2023-09-02 21:00:00,2023-09-02 22:00:00,106,209,0
Testing,5.704595464437946,2023-09-02 22:00:00,2023-09-03 00:00:00,109,209,0
Inspection,4.847869165226946,2023-09-02 23:00:00,2023-09-03 00:00:00,106,202,1
Welding,1.2287721406968566,2023-09-03 00:00:00,2023-09-03 05:00:00,109,209,0
Welding,1.97102284293974,2023-09-03 01:00:00,2023-09-03 06:00:00,102,200,0
Inspection,1.2828626711806081,2023-09-03 02:00:00,2023-09-03 09:00:00,101,207,0
Welding,6.727693701374023,2023-09-03 03:00:00,2023-09-03 12:00:00,108,204,1
Inspection,3.82920382968694,2023-09-03 04:00:00,2023-09-03 13:00:00,107,203,0
Testing,5.577136220482325,2023-09-03 05:00:00,2023-09-03 08:00:00,109,207,0
Inspection,9.168098265334837,2023-09-03 06:00:00,2023-09-03 09:00:00,106,206,1
Testing,3.2436300623398746,2023-09-03 07:00:00,2023-09-03 10:00:00,108,201,1
Testing,4.693446307320667,2023-09-03 08:00:00,2023-09-03 12:00:00,103,200,1
Assembly,7.799960246887438,2023-09-03 09:00:00,2023-09-03 17:00:00,103,203,0
Inspection,3.059183489424602,2023-09-03 10:00:00,2023-09-03 16:00:00,100,207,0
Assembly,1.6928191884591368,2023-09-03 11:00:00,2023-09-03 19:00:00,107,201,0
Inspection,3.6077630762239123,2023-09-03 12:00:00,2023-09-03 13:00:00,102,202,0
Inspection,2.4509915852860398,2023-09-03 13:00:00,2023-09-03 21:00:00,106,200,0
Assembly,9.367278871083158,2023-09-03 14:00:00,2023-09-03 18:00:00,101,200,0
Assembly,8.273083416079754,2023-09-03 15:00:00,2023-09-03 16:00:00,101,202,1
Inspection,6.700633808593811,2023-09-03 16:00:00,2023-09-04 00:00:00,106,204,0
Welding,8.84314531168946,2023-09-03 17:00:00,2023-09-03 21:00:00,105,202,0
Testing,8.23304869209203,2023-09-03 18:00:00,2023-09-04 00:00:00,102,200,0
Assembly,2.6791305299743224,2023-09-03 19:00:00,2023-09-04 03:00:00,108,200,0
Testing,9.0330309864098,2023-09-03 20:00:00,2023-09-04 00:00:00,109,207,0
Welding,5.854080177240856,2023-09-03 21:00:00,2023-09-04 00:00:00,105,209,0
Welding,8.266961396476564,2023-09-03 22:00:00,2023-09-04 07:00:00,109,201,0
Welding,9.06482169931144,2023-09-03 23:00:00,2023-09-04 02:00:00,109,202,0
Assembly,3.8620312747467747,2023-09-04 00:00:00,2023-09-04 09:00:00,105,201,0
Welding,1.9904673207490908,2023-09-04 01:00:00,2023-09-04 03:00:00,100,202,0
Assembly,3.051416462877475,2023-09-04 02:00:00,2023-09-04 04:00:00,103,206,1
Welding,4.843970097636307,2023-09-04 03:00:00,2023-09-04 05:00:00,109,200,0
Testing,8.362132893302437,2023-09-04 04:00:00,2023-09-04 10:00:00,105,209,0
Testing,8.74657524930709,2023-09-04 05:00:00,2023-09-04 08:00:00,105,207,1
Inspection,1.0625691747807164,2023-09-04 06:00:00,2023-09-04 15:00:00,104,209,0
Testing,5.596725723198092,2023-09-04 07:00:00,2023-09-04 11:00:00,100,209,1
Inspection,4.7566990283390105,2023-09-04 08:00:00,2023-09-04 09:00:00,107,209,0
Testing,2.9989702942365724,2023-09-04 09:00:00,2023-09-04 13:00:00,104,201,1
Assembly,2.0787883060031453,2023-09-04 10:00:00,2023-09-04 11:00:00,104,202,0
Testing,4.038536542632651,2023-09-04 11:00:00,2023-09-04 16:00:00,106,208,1
Inspection,9.486187335212673,2023-09-04 12:00:00,2023-09-04 16:00:00,103,206,0
Inspection,3.908826388186797,2023-09-04 13:00:00,2023-09-04 21:00:00,105,203,1
Welding,5.669115595690295,2023-09-04 14:00:00,2023-09-04 22:00:00,103,209,0
Assembly,7.3271706300566,2023-09-04 15:00:00,2023-09-04 22:00:00,102,204,0
Testing,4.272666421413646,2023-09-04 16:00:00,2023-09-04 19:00:00,106,201,1
Welding,9.746038744488645,2023-09-04 17:00:00,2023-09-04 18:00:00,107,207,0
Testing,9.662025654479,2023-09-04 18:00:00,2023-09-04 19:00:00,103,203,0
Testing,3.2660406624282774,2023-09-04 19:00:00,2023-09-04 22:00:00,101,208,0
Welding,5.475236553031469,2023-09-04 20:00:00,2023-09-05 02:00:00,109,204,0
Welding,3.707904788350927,2023-09-04 21:00:00,2023-09-05 04:00:00,102,208,0
Welding,3.5635644493972087,2023-09-04 22:00:00,2023-09-05 04:00:00,100,203,0
Welding,1.3319825261907952,2023-09-04 23:00:00,2023-09-05 05:00:00,107,209,1
Welding,6.486079005819072,2023-09-05 00:00:00,2023-09-05 06:00:00,102,204,0
Testing,5.524111209059753,2023-09-05 01:00:00,2023-09-05 04:00:00,109,208,0
Welding,1.463308761249904,2023-09-05 02:00:00,2023-09-05 08:00:00,106,207,1
Assembly,3.507818178129503,2023-09-05 03:00:00,2023-09-05 11:00:00,109,202,1
